OTU,Domain,Phylum,Class,Order,Family,Genus
DENOVO13663,Bacteria,Planctomycetes,028H05-P-BN-P5,uncultured bacterium,uncultured bacterium,uncultured bacterium
DENOVO13664,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO13665,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
DENOVO13666,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pseudofulvibacter
DENOVO13667,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO13668,Unclassified,,,,,
DENOVO13669,Unclassified,,,,,
DENOVO13670,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO13671,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
DENOVO13672,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO13673,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,uncultured bacterium
DENOVO13674,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,uncultured,uncultured alpha proteobacterium
DENOVO13675,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Bergeyella
DENOVO13676,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
DENOVO13677,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
DENOVO13678,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium 5
DENOVO13679,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
DENOVO13680,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 1
DENOVO13681,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,uncultured bacterium
DENOVO13682,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
DENOVO13683,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
DENOVO13684,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
DENOVO13685,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
DENOVO13686,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,
DENOVO13687,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Uliginosibacterium
